"word","modality"
"aanraken","gesture"
"aarde","gesture"
"ademen","gesture"
"alles","gesture"
"arm (lichaam)","gesture"
"as","gesture"
"badderen","gesture"
"bang","gesture"
"been","gesture"
"beneden","gesture"
"berg","gesture"
"bijten","gesture"
"bitter","gesture"
"blad","gesture"
"blauw","gesture"
"blazen","gesture"
"blij","gesture"
"bliksem","gesture"
"bloed","gesture"
"boos","gesture"
"borst","gesture"
"bot (kenmerk, niet lichaam)","gesture"
"bot (lichaam)","gesture"
"boven","gesture"
"dij","gesture"
"dik","gesture"
"dit","gesture"
"doen","gesture"
"donker","gesture"
"dood","gesture"
"dragen","gesture"
"drinken","gesture"
"dromen","gesture"
"droog","gesture"
"één","gesture"
"ei","gesture"
"eten","gesture"
"fluisteren","gesture"
"fruit","gesture"
"gaan","gesture"
"geel","gesture"
"geur","gesture"
"geurig","gesture"
"geven","gesture"
"gezond","gesture"
"gisteren","gesture"
"glad","gesture"
"goed","gesture"
"gooien","gesture"
"groen","gesture"
"grommen","gesture"
"groot","gesture"
"haar","gesture"
"hand","gesture"
"hard","gesture"
"hartig","gesture"
"heden","gesture"
"heet","gesture"
"het","gesture"
"hij","gesture"
"hoekig","gesture"
"hond","gesture"
"honing","gesture"
"hoog","gesture"
"hoorn","gesture"
"horen","gesture"
"hout","gesture"
"huid","gesture"
"huilen","gesture"
"huis","gesture"
"ik","gesture"
"in","gesture"
"jagen","gesture"
"jeuk","gesture"
"jij","gesture"
"kat","gesture"
"kauwen","gesture"
"kind","gesture"
"kleding","gesture"
"klein","gesture"
"knie","gesture"
"knopen","gesture"
"komen","gesture"
"kort","gesture"
"kotsen","gesture"
"koud","gesture"
"kruipen","gesture"
"laag (ruimtelijk)","gesture"
"lachen","gesture"
"lang","gesture"
"langzaam","gesture"
"lepel","gesture"
"levend","gesture"
"lever","gesture"
"licht","gesture"
"likken","gesture"
"lopen","gesture"
"lucht","gesture"
"luidruchtig","gesture"
"luis","gesture"
"maken","gesture"
"man","gesture"
"mier","gesture"
"misschien","gesture"
"mond","gesture"
"naam","gesture"
"nacht","gesture"
"nat","gesture"
"navel","gesture"
"nek","gesture"
"nemen","gesture"
"neus","gesture"
"niet","gesture"
"nieuw","gesture"
"nu","gesture"
"onweer","gesture"
"oog","gesture"
"oor","gesture"
"oud","gesture"
"piepen","gesture"
"regen","gesture"
"rennen","gesture"
"rivier","gesture"
"rond","gesture"
"rood","gesture"
"rook","gesture"
"rots","gesture"
"rug","gesture"
"ruiken","gesture"
"ruw","gesture"
"schaduw","gesture"
"scherp","gesture"
"slaan","gesture"
"slang","gesture"
"slapen","gesture"
"slecht","gesture"
"smaak","gesture"
"snel","gesture"
"sommige","gesture"
"springen","gesture"
"staan","gesture"
"staart","gesture"
"steen","gesture"
"ster","gesture"
"sterk","gesture"
"stil","gesture"
"strak","gesture"
"tand","gesture"
"toekomst","gesture"
"tong","gesture"
"touw","gesture"
"uit","gesture"
"vallen","gesture"
"vangen","gesture"
"vechten","gesture"
"veel","gesture"
"ver","gesture"
"verbranden","gesture"
"verbrijzelen","gesture"
"verdrietig","gesture"
"vergeten","gesture"
"verleden","gesture"
"vermalen","gesture"
"verrot","gesture"
"verschillend","gesture"
"verstoppen","gesture"
"verzamelen","gesture"
"vijand","gesture"
"vis","gesture"
"vlees","gesture"
"vleugel","gesture"
"vlieg","gesture"
"vliegen","gesture"
"vlinder","gesture"
"voelen","gesture"
"voet","gesture"
"vogel","gesture"
"vooraan","gesture"
"vork","gesture"
"vriend","gesture"
"vrouw","gesture"
"vuur","gesture"
"walgen","gesture"
"wanneer","gesture"
