trial_order,trial_type,participant,word,modality,answer,correction,sessionID,exp_part,dyad,pcnID,English,cosine_similarity
47,practice,1,bloem,geluiden,vlief,0,10_1,1,10,2,flower,
11,target,0,langzaam,gebaren,slowmotion,0,10_2,2,10,1,slow,
86,practice,1,glimlach,geluiden,catcallen,1,10_2,2,10,2,smile,
91,target,1,berg,geluiden,leegopen,0,10_2,2,10,2,mountain,
17,target,1,slaan,combinatie,highfive,0,11_1,1,11,4,to hit,
17,target,0,verdrietig,geluiden,sniffen,1,11_2,2,11,3,sad,
66,target,1,berg,combinatie,bergwandeling,1,11_2,2,11,4,mountain,
104,target,1,ver,gebaren,ver weg,1,11_2,2,11,4,far,
106,target,1,vlieg,gebaren,sprinkelen,0,11_2,2,11,4,fly,
35,target,1,ademen,geluiden,buiten adem,0,12_1,1,12,6,to breathe,
43,practice,0,sneeuw,geluiden,,2,12_2,2,12,5,snow,
74,target,1,oud,geluiden,wakker worden,2,12_2,2,12,6,old,
1,practice,0,telefoon,geluiden,ringtoon,0,13_2,2,13,7,telephone,
96,target,1,kind,combinatie,moedergans,0,13_2,2,13,8,child,
107,target,1,wind,combinatie,fohnen,1,13_2,2,13,8,wind,
51,target,1,bitter,gebaren,vies eten,2,14_2,2,14,10,bitter,
49,target,1,vuur,combinatie,openhaart,0,15_1,1,15,12,fire,
58,target,1,dood,geluiden,uitgleiden,1,15_2,2,15,12,dead,
97,target,1,ver,gebaren,verweg,0,15_2,2,15,12,far,
103,target,1,piepen,gebaren,kuikelen,1,15_2,2,15,12,squeak,
10,target,0,gooien,combinatie,highfive,1,16_2,2,16,13,to throw,
78,target,0,ei,geluiden,kukkelen,2,16_2,2,16,13,egg,
112,target,1,horen,geluiden,huh,1,16_2,2,16,14,to hear,
13,target,0,stil,gebaren,ssst,2,17_2,2,17,15,silent,
56,target,0,gooien,geluiden,startsignaal,1,17_2,2,17,15,to throw,
46,practice,1,snijden,geluiden,traplopen,0,1_1,1,1,20,to cut,
17,target,0,vangen,geluiden,iets pakken,0,1_2,2,1,19,to catch,
32,target,1,koud,geluiden,,2,1_2,2,1,20,cold,
64,target,0,langzaam,gebaren,zachtjes lopen,1,1_2,2,1,19,slow,
66,target,0,staart,gebaren,wc rol,0,1_2,2,1,19,tail,
67,target,0,staart,gebaren,staartbackslash,1,1_2,2,1,19,tail,
71,target,0,fluisteren,gebaren,silte vragen,1,1_2,2,1,19,to whisper,
124,target,1,water,combinatie,regendrank,0,1_2,2,1,20,water,
57,target,0,piepen,combinatie,hoge toon,1,20_2,2,20,21,squeak,
63,practice,1,sneeuw,combinatie,sprinkelen,0,20_2,2,20,22,snow,
4,target,0,koud,geluiden,koud hebben,0,21_1,1,21,23,cold,
40,target,0,langzaam,combinatie,slowmotion,0,21_1,1,21,23,slow,
84,target,0,zoemen,gebaren,wattenstaaf,2,21_2,2,21,23,buzz,
5,target,0,vis,geluiden,bubbelen,0,22_1,1,22,25,fish,
30,target,1,langzaam,gebaren,slowmotion,0,22_1,1,22,26,slow,
109,target,1,blij,combinatie,giegelen,2,22_2,2,22,26,happy,
14,target,1,langzaam,combinatie,slow motion,0,23_1,1,23,28,slow,
29,practice,1,haasten,geluiden,buiten adem,0,23_1,1,23,28,to hurry,
8,target,0,bitter,gebaren,vies eten,1,23_2,2,23,27,bitter,
35,practice,0,fiets,geluiden,fietsbel,1,23_2,2,23,27,bicycle,
54,practice,1,vliegtuig,geluiden,leegopen,0,23_2,2,23,28,airplane,
83,target,0,zuur,combinatie,shotje,0,23_2,2,23,27,sour,
92,target,0,bliksem,combinatie,meteor,1,24_2,2,24,29,lightning,
28,practice,1,koken,gebaren,pannenkoeken bakken,0,25_1,1,25,32,to cook,
56,target,1,water,gebaren,poolparty,0,25_2,2,25,32,water,
41,target,0,heet,geluiden,buiten adem,0,26_1,1,26,33,hot,
5,practice,0,fiets,geluiden,busstop,1,26_2,2,26,33,bicycle,
23,practice,1,vliegtuig,geluiden,fohn,1,26_2,2,26,34,airplane,
72,target,1,bang,combinatie,niet willen,2,26_2,2,26,34,scared,
91,target,0,piepen,gebaren,hardcore,0,26_2,2,26,33,squeak,
53,target,1,rennen,geluiden,buitenadem,0,27_1,1,27,36,to run,
24,target,0,langzaam,combinatie,slowmoting,0,29_1,1,29,39,slow,
33,target,1,hoorn,combinatie,teletubbie,0,29_1,1,29,40,horn,
44,target,0,ruiken,gebaren,bloemen ruiken,0,29_1,1,29,39,to smell,
12,target,0,zoet,gebaren,lekker vinden,2,29_2,2,29,39,sweet,
79,target,0,misschien,combinatie,keuze maken,0,29_2,2,29,39,maybe,
76,practice,0,fiets,gebaren,motorrijden,2,2_2,2,2,41,bicycle,
29,practice,1,olifant,gebaren,olifcapslockn,0,30_1,1,30,44,elephant,
71,target,1,berg,gebaren,ski vakante,1,30_2,2,30,44,mountain,
105,target,1,staart,combinatie,,1,30_2,2,30,44,tail,
18,target,1,staan,gebaren,alfaman,0,31_1,1,31,46,to stand,
22,target,0,groot,geluiden,verbeisterd,0,31_1,1,31,45,big,
5,practice,0,klok,gebaren,op tijd,2,31_2,2,31,45,clock,
22,target,0,vrouw,gebaren,lichaamsfiguur,0,32_1,1,32,47,female,
3,practice,0,geheim,gebaren,stil zijn,2,32_2,2,32,47,secret,
57,target,1,langzaam,combinatie,slowmotion,0,32_2,2,32,48,slow,
82,target,0,hoog,geluiden,hoge toon,1,32_2,2,32,47,high,
88,target,0,zuur,geluiden,niet lekker,2,32_2,2,32,47,sour,
90,target,0,likken,geluiden,fles ontpoppen,1,32_2,2,32,47,to lick,
27,target,0,lopen,combinatie,margeren,0,33_1,1,33,49,to walk,
95,practice,1,bal,combinatie,vissenkom,0,33_2,2,33,50,ball,
106,target,1,vechten,combinatie,knock out,1,33_2,2,33,50,to fight,
27,target,1,vis,geluiden,blub,1,34_2,2,34,52,fish,
56,target,0,kauwen,gebaren,knarzen,1,34_2,2,34,51,to chew,
21,target,0,bitter,gebaren,bubbelen,0,35_1,1,35,53,bitter,
5,practice,0,klok,gebaren,zonuren,1,35_2,2,35,53,clock,
26,target,1,scherp,gebaren,blauwe plek,1,35_2,2,35,54,sharp,
54,practice,1,geheim,combinatie,niet praten,2,35_2,2,35,54,secret,
71,target,0,goed,geluiden,,0,35_2,2,35,53,good,
73,target,0,goed,geluiden,klingen,2,35_2,2,35,53,good,
83,target,1,fluisteren,combinatie,smiespelen,1,36_2,2,36,56,to whisper,
