ID,exp_start,block_start,practice,cycle,display_start,trial_start,trial_end,RT,word,modality,correction,answer,points
63,167.14439109999876,189.4041604999984,practice,0,215.15814819999832,220.3345995999989,228.80893109999852,231.8756414999989,zingen,gebaren,0,zingen,0
63,167.14439109999876,189.4041604999984,practice,0,234.07718079999904,236.85310729999946,244.20912509999835,246.34443049999936,klok,gebaren,0,klok,0
63,167.14439109999876,189.4041604999984,none,0,261.8145412999984,302.2742776999985,306.3878058999999,307.9868620999987,goed,gebaren,0,goed,2
63,167.14439109999876,189.4041604999984,none,0,309.2469653999997,311.7125991999983,317.2144806999986,320.7803740999989,bang,gebaren,0,bang,2
63,167.14439109999876,189.4041604999984,none,0,322.1489763999998,323.9127677999986,331.25975879999896,333.74902929999917,sterk,gebaren,0,sterk,2
63,167.14439109999876,189.4041604999984,none,0,335.1674729999995,344.11013979999916,350.3795057999996,352.7114171999983,kruipen,gebaren,0,kruipen,2
63,167.14439109999876,189.4041604999984,none,0,354.46224970000003,355.968477299999,361.61276089999956,364.72025589999976,drinken,gebaren,0,drinken,2
63,167.14439109999876,189.4041604999984,none,0,365.97224149999965,367.3974892999995,374.43944179999926,378.5639711999993,gooien,gebaren,0,gooien,2
63,167.14439109999876,189.4041604999984,none,0,379.8074252999995,388.46071539999866,402.0383433999996,405.35133869999845,wind,gebaren,0,wind,2
63,167.14439109999876,189.4041604999984,practice,1,458.7523191,460.8189578999991,463.36254310000004,466.00193899999977,zwaaien,gebaren,0,zwaaien,0
63,167.14439109999876,189.4041604999984,practice,1,467.2285876999995,472.4167619,477.4653694999997,479.2540436999989,eend,gebaren,0,eend,0
63,167.14439109999876,189.4041604999984,none,1,483.18108629999915,486.5237442999987,490.7860671999988,495.39798659999906,scherp,gebaren,0,prikken,0
63,167.14439109999876,189.4041604999984,none,1,501.0254552999995,502.24015509999845,508.6553606999987,509.84168169999975,scherp,gebaren,1,wond,0
63,167.14439109999876,189.4041604999984,none,1,515.9862790999996,520.376828299999,526.1139320999991,528.8779592999999,scherp,gebaren,2,bloed,0
63,167.14439109999876,189.4041604999984,none,1,537.5390812999995,540.7633850999991,547.1143596999991,549.0558023999984,ziek,gebaren,0,ziek,2
63,167.14439109999876,189.4041604999984,none,1,550.2407910999991,554.4105589999999,559.7672874,562.5492943999998,onweer,gebaren,0,onweer,2
63,167.14439109999876,189.4041604999984,none,1,564.4681351999989,566.5487444999999,569.6598136999983,581.0438437999983,eten,gebaren,0,eten,2
63,167.14439109999876,189.4041604999984,none,1,582.5375540999994,584.2496462999989,588.9124904,590.9204161999987,vliegen,gebaren,0,vliegen,2
63,167.14439109999876,189.4041604999984,none,1,592.0471657999988,593.9191855999998,596.6468464999998,598.9047569999984,slapen,gebaren,0,slapen,2
63,167.14439109999876,189.4041604999984,none,1,600.2231598999988,601.9350679999989,605.8230609999991,608.006954299999,zwemmen,gebaren,0,zwemmen,2
63,167.14439109999876,636.2118976999991,practice,0,647.0717141999994,650.5319693999991,657.3781970999989,663.2058475999984,fiets,combinatie,0,fietsen,0
63,167.14439109999876,636.2118976999991,practice,0,667.3082189999986,667.9316884999989,670.4149179999986,673.148983699999,fiets,combinatie,1,fiets,0
63,167.14439109999876,636.2118976999991,practice,0,674.8008879999998,677.2126073999989,681.4114856999986,684.4256852999988,glimlach,combinatie,0,glimlach,0
63,167.14439109999876,636.2118976999991,none,0,689.7946096999985,692.9456522,697.4670313999995,699.2445601999989,koud,combinatie,0,koud,2
63,167.14439109999876,636.2118976999991,none,0,700.8465840999997,702.7458461999995,713.4668334999988,715.6136098999996,vuur,combinatie,0,vuur,2
63,167.14439109999876,636.2118976999991,none,0,717.0408597999995,718.5184425999996,726.5565967999992,728.6740300999991,zwaar,combinatie,0,zwaar,2
63,167.14439109999876,636.2118976999991,none,0,730.209356899999,733.0574873999994,737.7869169999994,740.5089511999995,geven,combinatie,0,uitdelen,0
63,167.14439109999876,636.2118976999991,none,0,744.6360172999994,749.4896528999998,761.5322763999993,763.8875369999987,geven,combinatie,1,geven,1
63,167.14439109999876,636.2118976999991,none,0,765.3313604999985,767.0089279999993,770.0249413999991,772.7305247999993,slaan,combinatie,0,slaan,2
63,167.14439109999876,636.2118976999991,none,0,774.2407564999994,775.8176814999988,779.4780850999996,781.7485229999984,rennen,combinatie,0,rennen,2
63,167.14439109999876,636.2118976999991,none,0,782.8922565999983,784.3366899999983,789.2213106999989,794.4337121999997,lopen,combinatie,0,wandelen,0
63,167.14439109999876,636.2118976999991,none,0,798.1613228999995,799.0952875999992,804.3583122999989,806.2936438999986,lopen,combinatie,1,lopen,1
63,167.14439109999876,636.2118976999991,practice,1,834.4241497999992,836.7436235999994,840.2026411999996,842.4157628999983,vliegtuig,combinatie,0,vliegtuig,0
63,167.14439109999876,636.2118976999991,practice,1,843.7337745999994,845.9133466999992,848.998820499999,850.7753542999999,juichen,combinatie,0,juichen,0
63,167.14439109999876,636.2118976999991,none,1,855.8529239,858.3831204999988,861.6758701999988,863.4522462999994,vis,combinatie,0,vis,2
63,167.14439109999876,636.2118976999991,none,1,864.9373634999993,867.7873187999994,873.8138249999993,875.9123918999994,heet,combinatie,0,warm,0
63,167.14439109999876,636.2118976999991,none,1,878.6313757999997,880.5938779999997,885.1528227999988,886.6055171999997,heet,combinatie,1,heet,1
63,167.14439109999876,636.2118976999991,none,1,888.1410928999994,892.3940470999987,898.200836,900.657776099999,zout,combinatie,0,zee,0
63,167.14439109999876,636.2118976999991,none,1,903.6599650999997,904.9529917999989,909.7673046,916.4932956999983,zout,combinatie,1,zeedier,0
63,167.14439109999876,636.2118976999991,none,1,921.9540743999987,923.8865578999994,927.9748920999991,930.7454319999997,zout,combinatie,2,zeezout,0
63,167.14439109999876,636.2118976999991,none,1,940.3906246999995,942.7702986999993,947.9358321,953.9324066999998,piepen,combinatie,0,muis,0
63,167.14439109999876,636.2118976999991,none,1,957.701409199999,959.1022069999999,964.7467527999997,986.653626199999,piepen,combinatie,1,geluid,0
63,167.14439109999876,636.2118976999991,none,1,990.0561463999984,990.9421036999993,1001.3011644999988,1003.3642892999997,piepen,combinatie,2,oven,0
63,167.14439109999876,636.2118976999991,none,1,1013.4839816999993,1015.7225006999997,1019.3444399999989,1021.158815499999,vallen,combinatie,0,vallen,2
63,167.14439109999876,636.2118976999991,none,1,1022.1689516999995,1023.9323757999991,1027.4744738999998,1029.3019092999984,vechten,combinatie,0,vechten,2
63,167.14439109999876,636.2118976999991,none,1,1030.6617824999994,1034.7116647999992,1039.3927562999997,1046.020776199999,weten,combinatie,0,leren,0
63,167.14439109999876,636.2118976999991,none,1,1048.756205399999,1049.8147821999992,1053.5580050999997,1070.7912551999998,weten,combinatie,1,denken,0
63,167.14439109999876,636.2118976999991,none,1,1074.160405999999,1075.8826868999986,1081.846784899999,1088.9854480999984,weten,combinatie,2,opzoeken,0
63,167.14439109999876,1099.9721973999985,practice,0,1140.3032957999985,1156.4096550999984,1158.9000366,1164.5051999999996,bal,geluiden,0,voetballen,0
63,167.14439109999876,1099.9721973999985,practice,0,1170.5993059999983,1173.0413430999997,1176.7653919999993,1178.5486059999985,bal,geluiden,1,bal,0
63,167.14439109999876,1099.9721973999985,practice,0,1180.7504292999984,1187.6376373999992,1194.3037351999992,1197.3765752,sneeuw,geluiden,0,koud,0
63,167.14439109999876,1099.9721973999985,practice,0,1202.829110999999,1203.5445056999997,1209.5635000999991,1214.1541590999987,sneeuw,geluiden,1,klappertanden,0
63,167.14439109999876,1099.9721973999985,practice,0,1218.4647046999999,1223.6966539999994,1231.3329274999996,1234.6158791999987,sneeuw,geluiden,2,sneeuw,0
63,167.14439109999876,1099.9721973999985,none,0,1243.135104699999,1244.9716706999989,1247.5956197999985,1249.509235899999,boos,geluiden,0,boos,2
